Language/Dialect	Word
Afrikaans	Pencil eraser
Afrikaans	Hippo
Afrikaans	Electric fan
Afrikaans	Kitchen
Afrikaans	Jacket
Afrikaans	Giraffe
Afrikaans	Joystick
Afrikaans	Noob
Afrikaans	Crackle
Afrikaans	Barbecue
Bahamian Creole	(No individual nouns used; dialogues/monologues only)
Danish	Seeds
Danish	Ice
Danish	Pencil
Danish	Bridge
Danish	Forest
Dutch (Mini-Challenge)	Turtle
Dutch (Mini-Challenge)	Photographer
Dutch (Mini-Challenge)	Ostrich
Dutch (Mini-Challenge)	Aquarium
Dutch (Mini-Challenge)	Chair
Dutch (Mini-Challenge)	Rain
Dutch (Mini-Challenge)	Triangle
Dutch (Mini-Challenge)	Plumber
Dutch (Mini-Challenge)	Library
Dutch (Mini-Challenge)	Fireworks
Dutch (Regular Episode)	Sofa
Dutch (Regular Episode)	Glove
Dutch (Regular Episode)	Bike
Dutch (Regular Episode)	Sand
Dutch (Regular Episode)	Peanuts
Faroese	Bull
Faroese	Apple
Faroese	Librarian
Faroese	Football field
Faroese	Water
German	Potato
German	Medicine
German	Shark
German	Curb
German	Television
German	Castle
German	Sunset
German	Bookmark
Luxembourgish	Chicken
Luxembourgish	Ant
Luxembourgish	Stamp
Luxembourgish	Oven
Norwegian	Lake
Norwegian	Train
Norwegian	Sadness
Norwegian	Greenland
Norwegian	Whale
Old English	Star
Old English	Red
Old English	Love
Old English	Star Wars
Old English	Super Mario
Old English	Bear
Old English	Blackberry
Old English	Eye
Old English	Oak
Old English	Tooth (molar)
Old English	Animal
Old English	Axe
Old English	War-apple
North Frisian	Sunshine
North Frisian	Christmas tree
North Frisian	Seagull
North Frisian	Evening
Old Norse	(Full phrases used; no individual nouns)
Schwäbisch	Needle
Schwäbisch	Hawk
Schwäbisch	Carpenter
