Language/Dialect	Word
Tuscan	Water tap
Tuscan	Jack (in cards)
Tuscan	Ant (insect)
Tuscan	Whiner, moaner
Tuscan	Pillow
Corsican	Butterfly
Corsican	Garbage man
Corsican	Hair
Corsican	Chestnut
Corsican	Hedgehog
Neapolitan	Cooper (barrel maker)
Neapolitan	Owl
Neapolitan	Tissue/handkerchief
Neapolitan	Oil (petroleum)
Neapolitan	Orange
French	(Bus) seat
French	Beginner
French	Hair
French	Bedroom
French	Watch (on a wrist)
Louisiana Creole	Watermelon
Louisiana Creole	Car
Louisiana Creole	Coffee maker
Louisiana Creole	Kidney
Louisiana Creole	Dollar
Haitian Creole	Backet
Haitian Creole	Flue
Haitian Creole	Sandal
Haitian Creole	Nap (siesta)
Haitian Creole	Tree
Catalan	Spoon
Catalan	Legs
Catalan	Candle
Catalan	Duck
Occitan	Vegetable garden
Occitan	Flag
Occitan	Gums
Occitan	Stork
Occitan	Electricity
Romansh	Bat
Romansh	Stone
Romansh	Eagle
Romansh	Violin
Romansh	Vacuum cleaner
Lombard	Trash
Lombard	Wedge, quoin
Lombard	Leather
Lombard	Shudder, thrill
Lombard	Toad
Friulian	Game
Friulian	Pumpkin
Friulian	Corkscrew
Friulian	Cage
Friulian	Gravedigger
Friulian	Dream
Sicilian	Plumber
Sicilian	Tin can/jar
Sicilian	Donkey
Sicilian	Butcher’s
Sicilian	Parsley
Venetian	Key
Venetian	Hail
Venetian	Chair
Venetian	Coffee cup
Venetian	Matchstick
Venetian	Skirt
Neapolitan	Head
Neapolitan	Child
Neapolitan	Godfather
Neapolitan	Snow
Neapolitan	Jar
Sardinian	Mug
Sardinian	Tree
Sardinian	Fox
Sardinian	Friday
Sardinian	Daily
Argentinian	Scammer
Argentinian	Luck, fortune
Argentinian	City warden, policeman
Argentinian	Insult
Argentinian	Laziness
Argentinian	Bouncer/Bodyguard
Galician	Fire
Galician	Cheek
Galician	Gay
Galician	Outbreak
Galician	Carpenter
Galician	Kiss
Brazilian Portuguese	Stairs
Brazilian Portuguese	Last name
Brazilian Portuguese	Hairdresser
Brazilian Portuguese	Hen
Brazilian Portuguese	Glasses
Mexican Spanish	Journal
Mexican Spanish	Canoe
Mexican Spanish	Suit
Mexican Spanish	Pan
Italian	Shoe
Italian	Butter
Italian	Queen
Italian	Purse
Romanian	Garlic
Romanian	Song
Romanian	Candy
Romanian	Frame
Romanian	Dog
Romanian	Writer
Romanian	Lungs
Romanian	Lamp
Romanian	Forest
Romanian	Bicycle
Latin	Gold
Latin	Kitchen
Latin	Lizard
Latin	Apple
Latin	A people
Latin	Cake
Latin	Scorpion
Latin	An elderly person
Latin	Grief
Venetian	Lagoon
Venetian	Artichoke
Venetian	Fork
Venetian	Aunt
Venetian	Peanut
Romanian/Portuguese	Mirror
Romanian/Portuguese	Ladder
Romanian/Portuguese	Clock
Romanian/Portuguese	Picnic blanket
Brazilian	Glasses
Italian	Bicycle
Romanian	Shoe
Romanian	Turtle
Romanian	Glove
Romanian	Cricket
Romanian	Nightmare
Romanian	Farm
Romanian	Pride
Brazilian Portuguese	Toothbrush
Brazilian Portuguese	Onion
Brazilian Portuguese	Tent
Brazilian Portuguese	Paradise
Brazilian Portuguese	Lumberjack
Argentinian	Waist
Argentinian	Bow
Italian	Dye (hair)
Italian	Moth
Catalan	Frog
Catalan	Fire extinguisher
Catalan	Whisper (as a noun)
Catalan	Tag (children’s game)
Catalan	Scale (or weight scale)
Spanish	Hammer
Spanish	Dice
Romanian	Horse
Romanian	Flea
Interlingua	Soap bubble
Interlingua	Aluminium foil
Interlingua	Cul de sac
Interlingua	Washing machine
Interlingua	Bat
Latin	Apartment building
Arpitan	Rake
Arpitan	Railway station
Arpitan	Potato
Arpitan	Cow
Arpitan	Fear
Abruzzese	Head
Abruzzese	Child
Abruzzese	Godfather
Abruzzese	Snow
Abruzzese	Jar
