Language,Word
Polish,Treasure
Polish,Grave
Polish,Thief
Polish,Bathroom
Russian,Napkin
Russian,Charger
Russian,Bed
Russian,Gate
Rusyn,Window
Rusyn,Chimney
Rusyn,Stove
Rusyn,Scarf
Rusyn,Trousers
Rusyn,Pocket
Polish,Dog
Polish,Sheep
Polish,Rooster
Polish,Elephant
Polish,Calf
Polish,Unicorn
Russian,Bed
Russian,Box
Russian,Scissors
Bulgarian,Popcorn
Bulgarian,Mountain
Bulgarian,Forest
Bulgarian,Dog
Polish,Nurse
Polish,Doctor
Polish,Shoemaker
Polish,Priest
Polish,Journalist
Polish,Doctor
Polish,Plumber
Polish,Firefighter
Slovenian,Computer
Slovenian,Football
Slovenian,Fairy tale
Slovenian,Ice cream
Slovenian,Woman
Slovak,Diver
Slovak,Hospital
Slovak,Hell
Slovak,Scooter
Slovak,Dress
Slovak,Experience
Belarusian,Pile of stones
Belarusian,Pack of dogs
Belarusian,Rabbit
Belarusian,Shirt
Belarusian,Teakettle
Belarusian,Rock/stone
Belarusian,Sandbox
Belarusian,Judge
Belarusian,Scientist
Ukrainian,Lighter
Ukrainian,Bonfire
Ukrainian,Bait/Lure
Ukrainian,Stench
Ukrainian,Puddle
Ukrainian,Magician/Wizard
Croatian,Speaker (audio)
Croatian,Paddle
Croatian,Baker
Croatian,Tag (game)
Croatian,Gołąb (pigeon/dove)
Belarusian,Broom
Belarusian,Squirrel
Belarusian,Carrot
Belarusian,Wound
Belarusian,Carpenter
Belarusian,Avalanche
Bulgarian,Wolf
Bulgarian,Socks
Bulgarian,Pancake
Bulgarian,Pumpkin
Bulgarian,Clock
Serbian,Accordion
Serbian,Tram
Serbian,Desert
Serbian,Soap
Slovak,Dorm (student accommodation)
Slovak,Soup
Slovak,Darling
Slovak,Sword
Czech,Rhino
Czech,Nightgown
Czech,Lawyer
Czech,Earthquake
Czech,Wedding
Russian,Shoes
Russian,Flowers
Russian,Bear
Russian,Hide and seek
Russian,Farmer
Russian,Rainbow
